timestamp=17853524899768, VA=0000800107d40000-0000800107d40330, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd4caf30
timestamp=17853541877808, VA=000080012ee00000-000080012f200000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcd479550
timestamp=17853541890572, VA=000080012ee00000-000080012f200000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x611dcd478990
timestamp=17853551804666, VA=000080012f200000-000080012f600000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcd47be60
timestamp=17853551814174, VA=000080012f200000-000080012f600000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x611dcd559d40
timestamp=17853557346475, VA=000080012f600000-000080012fa00000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcd4fc760
timestamp=17853557351825, VA=000080012f600000-000080012fa00000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x611dcd4ca360
timestamp=17853558916883, VA=000080012fa00000-000080012fe00000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcd54f540
timestamp=17853558920399, VA=000080012fa00000-000080012fe00000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x611dcd54eb50
timestamp=17853559466518, VA=0000800100019000-00008001000190f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x611dcd47b740
timestamp=17853559496274, VA=000080010001a000-000080010001a0f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x611dcd47c9d0
timestamp=17853559567097, VA=000080012fe00000-0000800137e80000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcd479ea0
timestamp=17853559570905, VA=000080012fe00000-0000800137e80000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x611dcd54db40
timestamp=17853559601703, VA=0000800138000000-0000800139000000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcd551640
timestamp=17853559603957, VA=0000800138000000-0000800139000000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x611dcd705f20
timestamp=17853585636842, VA=000080011d703000-000080011d704000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd48e1a0
timestamp=17853585639157, VA=000080011d704000-000080011d704040, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd48e220
timestamp=17853585687638, VA=0000800139000000-000080013b000000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcd50dd80
timestamp=17853585690233, VA=0000800139000000-0000800139001000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd71cc10
timestamp=17853585806111, VA=00008000000da000-00008000000ee000, binding_type=bind, object_type=VK_OBJECT_TYPE_DESCRIPTOR_POOL, object_handle=0x611dcd7902b0
timestamp=17853588473015, VA=000080011d704040-000080011d705040, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd77d420
timestamp=17853588823936, VA=000080010001b000-000080010001b008, binding_type=bind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x611dcd4832e0
timestamp=17853597332643, VA=00008000000ee000-00008000000f2000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x611dcd763900
timestamp=17853597359984, VA=0000800139001000-0000800139002000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd50ed20
timestamp=17853597370845, VA=000080011d705040-000080011d706040, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd493940
timestamp=17853597377157, VA=000080011d706040-000080011d707040, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd50a040
timestamp=17853597421069, VA=0000800000200000-0000800000620000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE, object_handle=0x611dcbe31490
timestamp=17853597429114, VA=000080010001c000-000080010001c130, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE, object_handle=0x611dcbe31490
timestamp=17853622160589, VA=00008000000f2000-00008000000f6000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x611dcd82d160
timestamp=17853623960329, VA=00008000000f6000-00008000000fa000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x611dce2b2d30
timestamp=17853624094531, VA=00008000000fa000-00008000000fe000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x611dcca37560
timestamp=17853624145467, VA=0000800100019000-00008001000190f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x611dcd47b740
timestamp=17853624180984, VA=000080010001a000-000080010001a0f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x611dcd47c9d0
timestamp=17853624211782, VA=0000800100019000-00008001000190f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x611dcd47c9d0
